name,date,price,base,weight3,weight2,weight1,flag
青菜,2018/12/1,3.08,2.12,25.082617,12.670015,26.27,
包心菜,2018/12/1,2.62,2.42,14.329217,6.371626,26.27,
小白菜,2018/12/1,4.11,0,0,12.670015,26.27,8888
大白菜,2018/12/1,2.07,1.49,27.719762,12.670015,26.27,
韭菜,2018/12/1,4.88,4.81,42.773591,3.023645,26.27,
冬瓜,2018/12/1,2.1,1.72,32.483882,26.229337,26.27,
黄瓜,2018/12/1,4.5,4.48,22.764846,26.229337,26.27,
西红柿,2018/12/1,5.85,4.16,54.679113,21.584013,26.27,
茄子,2018/12/1,6.03,5.8,30.247722,21.584013,26.27,
萝卜,2018/12/1,2.26,2.05,8.5574,10.682151,26.27,
菠菜,2018/12/1,5.8,5.23,7.105089,12.670015,26.27,
芹菜,2018/12/1,5.35,4.2,40.092532,12.670015,26.27,
青圆椒,2018/12/1,6.48,4.84,9.109021,21.584013,26.27,
青尖椒,2018/12/1,5.73,4.87,5.964144,21.584013,26.27,
花菜,2018/12/1,5.28,3.65,69.800643,6.371626,26.27,
土豆,2018/12/1,2.8,2.51,54.572096,10.682151,26.27,
莴苣笋,2018/12/1,4.55,2.94,100,0.711446,26.27,
茭白,2018/12/1,7.9,5.48,100,5.021971,26.27,
长豇豆,2018/12/1,5.53,4.86,100,13.705796,26.27,
丝瓜,2018/12/1,5.45,5.79,34.760774,26.229337,26.27,
蒜苔,2018/12/1,5.83,4.9,10.227571,3.023645,26.27,
胡萝卜,2018/12/1,3.53,2.68,14.629637,10.682151,26.27,
生姜,2018/12/1,6.75,4.69,7.038503,10.682151,26.27,
豆腐干(散装),2018/12/1,8.8,6.24,100,35.808872,0.81,
豆腐,2018/12/1,2.43,1.52,100,64.191128,0.81,
猪全精肉,2018/12/1,17.25,15.88,47.537194,56.34,38.72,
猪肋条肉,2018/12/1,16.8,14.42,52.462806,56.34,38.72,
牛肉,2018/12/1,39.2,30.18,85.799489,10.43,38.72,
鸡蛋,2018/12/1,5.83,5.36,100,91.27,4.92,
鸭蛋,2018/12/1,9.1,6.92,100,8.73,4.92,
花鲢鱼,2018/12/1,9.35,4.67,12.949174,48.943627,29.28,
草鱼,2018/12/1,8.78,8.02,55.875688,48.943627,29.28,
活河虾,2018/12/1,75,61.39,59.470739,51.056373,29.28,
青菜,2018/12/2,3.11,2.12,25.082617,12.670015,26.27,
包心菜,2018/12/2,2.62,2.42,14.329217,6.371626,26.27,
小白菜,2018/12/2,4.1,0,0,12.670015,26.27,
大白菜,2018/12/2,2.06,1.49,27.719762,12.670015,26.27,
韭菜,2018/12/2,4.88,4.81,42.773591,3.023645,26.27,
冬瓜,2018/12/2,2.1,1.72,32.483882,26.229337,26.27,
黄瓜,2018/12/2,4.55,4.48,22.764846,26.229337,26.27,
西红柿,2018/12/2,5.85,4.16,54.679113,21.584013,26.27,
茄子,2018/12/2,6.03,5.8,30.247722,21.584013,26.27,
萝卜,2018/12/2,2.26,2.05,8.5574,10.682151,26.27,
菠菜,2018/12/2,5.8,5.23,7.105089,12.670015,26.27,
芹菜,2018/12/2,5.35,4.2,40.092532,12.670015,26.27,
青圆椒,2018/12/2,6.48,4.84,9.109021,21.584013,26.27,
青尖椒,2018/12/2,5.73,4.87,5.964144,21.584013,26.27,
花菜,2018/12/2,5.22,3.65,69.800643,6.371626,26.27,
土豆,2018/12/2,2.8,2.51,54.572096,10.682151,26.27,
莴苣笋,2018/12/2,4.5,2.94,100,0.711446,26.27,
茭白,2018/12/2,7.9,5.48,100,5.021971,26.27,
长豇豆,2018/12/2,5.48,4.86,100,13.705796,26.27,
丝瓜,2018/12/2,5.45,5.79,34.760774,26.229337,26.27,
蒜苔,2018/12/2,5.83,4.9,10.227571,3.023645,26.27,
胡萝卜,2018/12/2,3.53,2.68,14.629637,10.682151,26.27,
生姜,2018/12/2,6.75,4.69,7.038503,10.682151,26.27,
豆腐干(散装),2018/12/2,8.8,6.24,100,35.808872,0.81,
豆腐,2018/12/2,2.43,1.52,100,64.191128,0.81,
猪全精肉,2018/12/2,17.25,15.88,47.537194,56.34,38.72,
猪肋条肉,2018/12/2,16.7,14.42,52.462806,56.34,38.72,
牛肉,2018/12/2,39.2,30.18,85.799489,10.43,38.72,
鸡蛋,2018/12/2,5.83,5.36,100,91.27,4.92,
鸭蛋,2018/12/2,9.1,6.92,100,8.73,4.92,
花鲢鱼,2018/12/2,9.35,4.67,12.949174,48.943627,29.28,
草鱼,2018/12/2,8.78,8.02,55.875688,48.943627,29.28,
活河虾,2018/12/2,75,61.39,59.470739,51.056373,29.28,
青菜,2018/12/3,3.06,2.12,25.082617,12.670015,26.27,
包心菜,2018/12/3,2.62,2.42,14.329217,6.371626,26.27,
小白菜,2018/12/3,4.1,0,0,12.670015,26.27,
大白菜,2018/12/3,2.06,1.49,27.719762,12.670015,26.27,
韭菜,2018/12/3,4.88,4.81,42.773591,3.023645,26.27,
冬瓜,2018/12/3,2.05,1.72,32.483882,26.229337,26.27,
黄瓜,2018/12/3,4.55,4.48,22.764846,26.229337,26.27,
西红柿,2018/12/3,5.85,4.16,54.679113,21.584013,26.27,
茄子,2018/12/3,5.98,5.8,30.247722,21.584013,26.27,
萝卜,2018/12/3,2.26,2.05,8.5574,10.682151,26.27,
菠菜,2018/12/3,5.8,5.23,7.105089,12.670015,26.27,
芹菜,2018/12/3,5.35,4.2,40.092532,12.670015,26.27,
青圆椒,2018/12/3,6.48,4.84,9.109021,21.584013,26.27,
青尖椒,2018/12/3,5.73,4.87,5.964144,21.584013,26.27,
花菜,2018/12/3,5.2,3.65,69.800643,6.371626,26.27,
土豆,2018/12/3,2.8,2.51,54.572096,10.682151,26.27,
莴苣笋,2018/12/3,4.5,2.94,100,0.711446,26.27,
茭白,2018/12/3,7.9,5.48,100,5.021971,26.27,
长豇豆,2018/12/3,5.53,4.86,100,13.705796,26.27,
丝瓜,2018/12/3,5.45,5.79,34.760774,26.229337,26.27,
蒜苔,2018/12/3,5.83,4.9,10.227571,3.023645,26.27,
胡萝卜,2018/12/3,3.53,2.68,14.629637,10.682151,26.27,
生姜,2018/12/3,6.75,4.69,7.038503,10.682151,26.27,
豆腐干(散装),2018/12/3,8.8,6.24,100,35.808872,0.81,
豆腐,2018/12/3,2.43,1.52,100,64.191128,0.81,
猪全精肉,2018/12/3,17.2,15.88,47.537194,56.34,38.72,
猪肋条肉,2018/12/3,16.7,14.42,52.462806,56.34,38.72,
牛肉,2018/12/3,39.2,30.18,85.799489,10.43,38.72,
鸡蛋,2018/12/3,5.83,5.36,100,91.27,4.92,
鸭蛋,2018/12/3,9.1,6.92,100,8.73,4.92,
花鲢鱼,2018/12/3,9.35,4.67,12.949174,48.943627,29.28,
草鱼,2018/12/3,8.78,8.02,55.875688,48.943627,29.28,
活河虾,2018/12/3,75,61.39,59.470739,51.056373,29.28,
青菜,2018/12/4,3.01,2.12,25.082617,12.670015,26.27,
包心菜,2018/12/4,2.67,2.42,14.329217,6.371626,26.27,
小白菜,2018/12/4,4.1,0,0,12.670015,26.27,
大白菜,2018/12/4,2.01,1.49,27.719762,12.670015,26.27,
韭菜,2018/12/4,4.98,4.81,42.773591,3.023645,26.27,
冬瓜,2018/12/4,2.05,1.72,32.483882,26.229337,26.27,
黄瓜,2018/12/4,4.5,4.48,22.764846,26.229337,26.27,
西红柿,2018/12/4,5.85,4.16,54.679113,21.584013,26.27,
茄子,2018/12/4,6.03,5.8,30.247722,21.584013,26.27,
萝卜,2018/12/4,2.26,2.05,8.5574,10.682151,26.27,
菠菜,2018/12/4,5.9,5.23,7.105089,12.670015,26.27,
芹菜,2018/12/4,5.35,4.2,40.092532,12.670015,26.27,
青圆椒,2018/12/4,6.53,4.84,9.109021,21.584013,26.27,
青尖椒,2018/12/4,5.68,4.87,5.964144,21.584013,26.27,
花菜,2018/12/4,5.25,3.65,69.800643,6.371626,26.27,
土豆,2018/12/4,2.79,2.51,54.572096,10.682151,26.27,
莴苣笋,2018/12/4,4.55,2.94,100,0.711446,26.27,
茭白,2018/12/4,7.9,5.48,100,5.021971,26.27,
长豇豆,2018/12/4,5.48,4.86,100,13.705796,26.27,
丝瓜,2018/12/4,5.45,5.79,34.760774,26.229337,26.27,
蒜苔,2018/12/4,5.73,4.9,10.227571,3.023645,26.27,
